Gender,Age,Average Weekly Exercise Hours,Health Consciousness Rating,Average Daily Screen Time,Social Media Influence Score,Number of Professional Trainings Attended,Eco-Consciousness Metric,Stress Management Score,Time Management Skill,Lifestyle Choice
2,44,0.0319,3.0174,5.4114,3.5056,3.7528,0.029,5.3786,46.7685,Health-Conscious
2,28,0.0571,0.7296,2.1211,3.0327,3.2522,0.0196,2.0842,23.1638,Eco-Friendly
2,30,0.0663,0.6725,7.9362,2.2922,3.0284,0.0104,1.7416,30.0966,Eco-Friendly
1,21,0.137,0.832,4.3491,11.3896,3.6584,0.0009,3.6677,36.9524,Health-Conscious
1,36,0.0462,0.6992,6.3793,3.5635,2.5663,0.0159,3.5067,16.436,Health-Conscious
1,25,0.0586,3.4562,4.6488,11.9406,4.1633,0.0152,4.2132,66.2456,Social Media Influencer
1,25,0.0134,0.7773,5.1783,4.8407,1.0852,0.0186,1.0514,5.625,Social Media Influencer
2,34,0.0411,4.1165,6.8946,3.7015,1.6868,0.017,4.4336,7.5539,Health-Conscious
2,23,0.043,0.7052,2.795,3.4107,3.678,0.0242,2.4089,36.324,Eco-Friendly
1,32,0.6701,0.7977,4.0218,10.8019,3.6835,0.0085,2.1181,42.0902,Fitness Enthusiast
2,45,0.0428,1.399,7.1383,13.9783,3.278,0.0064,5.6168,36.0076,Health-Conscious
1,40,0.0639,2.5212,1.3476,2.8204,4.8324,0.0058,3.1021,76.2657,Health-Conscious
2,19,1.6307,0.408,3.4919,7.3916,5.1638,1.3109,2.5198,87.7642,Fitness Enthusiast
1,25,2.7992,0.5895,3.3963,12.5326,4.9052,0.6757,3.042,84.5923,Fitness Enthusiast
2,50,0.0325,0.951,3.7137,5.1352,3.402,0.0141,3.4906,33.4753,Social Media Influencer
2,28,0.0288,0.6801,5.1968,4.7817,3.2282,0.0212,1.3158,29.3822,Eco-Friendly
1,52,2.8235,1.1631,1.7224,4.263,1.5606,0.0204,2.2515,4.2527,Fitness Enthusiast
2,41,1.2818,0.6476,4.3282,18.4126,4.7756,1.2973,3.6318,76.7312,Fitness Enthusiast
2,44,0.5435,1.4665,5.7791,35.5299,1.9209,0.0512,3.7175,13.4723,Fitness Enthusiast
2,48,0.1326,4.7336,5.0056,3.2262,4.0983,0.0226,3.7548,65.0321,Health-Conscious
2,52,0.3643,2.2404,3.6546,7.0895,7.0894,0.0283,3.747,99.9758,Fitness Enthusiast
2,22,0.0171,1.1737,0.3098,3.3491,1.7078,0.0127,4.7172,0.5696,Health-Conscious
2,20,0.2986,5.7264,9.357,7.6931,2.163,0.0028,4.4538,14.4942,Health-Conscious
2,42,0.069,0.6666,5.8866,4.8283,3.8434,0.0228,3.5564,50.4793,Health-Conscious
1,25,0.0173,1.4457,7.1962,3.145,1.67,0.0211,2.8723,7.6026,Social Media Influencer
2,32,0.0681,2.2926,4.4956,3.0669,2.8808,0.0217,4.712,18.4545,Health-Conscious
2,24,0.0548,1.2263,5.2405,2.7832,3.5469,0.0081,2.2648,36.83,Health-Conscious
2,33,0.047,0.6695,4.9513,7.024,4.264,0.0353,4.4152,87.9059,Social Media Influencer
2,32,0.0259,0.6987,6.2528,3.3756,2.5949,0.0054,2.4986,18.0144,Eco-Friendly
2,50,0.0151,0.7358,3.513,3.9471,5.0816,0.008,3.6598,97.0443,Eco-Friendly
2,35,0.0278,0.6598,4.0765,4.8809,3.5579,0.7053,4.6184,40.6439,Eco-Friendly
1,38,0.0723,1.3139,9.8394,12.4656,4.3743,0.0057,3.8301,90.634,Eco-Friendly
1,53,0.0161,0.9246,6.197,2.78,3.5188,0.0219,2.7505,40.8925,Eco-Friendly
2,36,0.5252,1.9344,2.6836,4.923,3.5519,0.0121,4.3271,28.46,Fitness Enthusiast
1,30,0.1076,3.8935,5.9404,3.3078,3.3773,0.0113,4.7918,36.8554,Health-Conscious
2,26,0.4202,1.1138,6.4318,1.97,0.3183,0.3584,1.7574,0.772,Fitness Enthusiast
2,22,1.1925,3.301,5.089,10.2256,4.2365,1.1372,2.9567,61.5031,Fitness Enthusiast
2,38,3.3046,1.0534,5.2808,7.1663,3.4001,0.4701,2.019,37.2276,Fitness Enthusiast
1,28,0.0327,0.7865,3.9827,1.1527,2.7951,0.0167,1.4183,25.3702,Eco-Friendly
2,24,0.0904,0.8203,3.4428,3.6909,4.6694,0.0125,3.1651,89.7418,Eco-Friendly
1,36,0.1015,3.0067,5.7803,11.202,4.4938,0.0068,2.877,94.6702,Social Media Influencer
1,36,0.0047,1.2322,5.3535,9.9986,4.2426,0.006,3.3774,74.3504,Social Media Influencer
2,22,0.0663,2.5545,3.6113,1.8889,0.7753,0.0256,2.5096,2.6019,Health-Conscious
1,22,0.1062,0.6568,6.4448,3.6015,2.8762,0.0109,3.8363,24.1137,Eco-Friendly
2,29,0.0012,1.3767,1.3257,5.0375,3.5493,0.0272,6.0524,19.9425,Health-Conscious
2,41,0.0364,2.2334,2.7166,1.576,3.8576,0.0275,1.7932,36.2721,Health-Conscious
1,31,0.1864,0.8144,5.208,2.4615,2.0583,0.0296,1.8261,11.2033,Social Media Influencer
2,46,0.068,0.764,3.4488,2.1462,4.136,0.001,1.9243,66.4145,Eco-Friendly
1,53,0.1186,0.731,0.6571,2.3913,5.2975,0.0107,1.5647,86.6757,Eco-Friendly
2,38,0.006,0.729,4.2302,4.6301,3.891,0.0111,3.3083,48.4494,Eco-Friendly
1,36,0.8549,0.7884,3.6492,3.725,5.088,0.0165,3.3066,98.639,Eco-Friendly
1,64,0.1697,4.0094,5.0178,1.5796,2.5447,1.5813,4.1187,19.0427,Health-Conscious
2,57,0.0235,3.4117,2.9797,2.9912,5.1237,0.0878,4.6723,92.3842,Fitness Enthusiast
2,48,0.0408,1.057,4.0486,2.5852,0.4017,0.0041,2.8043,1.3536,Health-Conscious
2,24,0.1823,0.5955,2.4623,3.0674,1.954,0.8521,2.0369,11.603,Eco-Friendly
2,38,0.2699,1.1554,3.4542,9.7694,2.6925,0.0297,3.1454,15.5617,Health-Conscious
1,48,0.0118,0.8772,6.5025,5.5178,2.3563,0.0074,6.6376,14.0287,Health-Conscious
1,21,0.0182,0.774,2.0538,1.9255,3.7276,0.0006,0.4314,40.2588,Social Media Influencer
1,37,0.0535,0.7824,6.3541,2.4258,2.7212,0.0086,1.264,21.2888,Eco-Friendly
1,22,0.0228,1.6075,4.5959,13.485,3.0268,0.0022,4.1076,25.0426,Social Media Influencer
1,53,0.6411,4.5899,7.8151,3.5734,3.3091,0.0161,3.9704,34.8032,Health-Conscious
2,58,0.0975,4.8409,7.1715,6.1665,4.1568,0.0018,6.5827,64.7123,Health-Conscious
1,49,0.0562,2.7512,4.6334,0.7859,3.6955,0.0023,2.1147,43.1646,Health-Conscious
1,33,0.0457,0.7144,7.8716,4.2522,2.0557,0.0129,3.4554,10.7511,Health-Conscious
1,40,0.0951,0.4866,3.8225,34.1618,3.2535,0.0174,3.0865,24.2321,Fitness Enthusiast
1,30,0.0367,1.5917,7.1001,4.4135,4.0517,0.0303,4.6584,67.0142,Health-Conscious
2,22,0.0246,0.6862,1.6148,2.2267,3.402,0.0208,2.4051,20.7502,Health-Conscious
1,29,0.0692,0.6661,2.9159,3.8124,0.5818,0.0131,2.9417,0.8975,Health-Conscious
1,31,1.1076,2.1711,3.4892,7.1816,1.7646,0.9732,2.8601,5.7717,Fitness Enthusiast
2,32,0.0164,0.7742,2.8157,9.3795,2.9021,0.0296,3.1296,20.1776,Social Media Influencer
2,52,0.4067,0.5413,11.3212,4.4731,2.1464,1.2894,2.9588,17.7026,Eco-Friendly
1,32,0.0671,1.1506,8.0226,4.2509,2.9002,0.0012,3.2288,24.6913,Health-Conscious
2,46,0.1167,0.6912,1.2468,11.2073,1.1781,1.289,3.3917,0.5444,Fitness Enthusiast
1,34,0.0973,5.7698,4.1389,2.0608,5.1939,0.0222,3.4986,96.8954,Health-Conscious
2,24,0.003,0.6457,3.689,6.2272,5.2478,0.7844,2.6791,93.948,Social Media Influencer
1,62,0.0841,7.3399,5.5877,3.0723,0.9368,0.0118,4.5916,0.6737,Health-Conscious
2,32,0.0224,0.6737,2.6496,1.8502,1.3474,0.0361,1.8466,2.0145,Eco-Friendly
1,41,0.062,0.7401,7.2251,0.8994,4.8962,0.0257,0.8867,101.3915,Eco-Friendly
2,38,0.0218,0.6627,3.2801,3.1224,3.6463,0.0139,2.7003,34.2678,Health-Conscious
1,33,2.3106,1.8779,1.5616,9.2991,1.3516,0.0061,2.3471,2.0351,Fitness Enthusiast
1,62,0.1302,4.8672,2.9087,3.2606,4.6698,0.0146,5.3533,79.9776,Health-Conscious
1,24,0.0858,0.7197,2.111,2.1431,1.968,0.0023,2.0491,7.9318,Social Media Influencer
2,37,0.0047,4.1679,4.6534,4.2832,1.2421,0.0191,6.3076,3.9941,Health-Conscious
2,46,0.1275,0.7432,4.4727,6.6517,3.9347,0.0263,4.0949,61.5763,Social Media Influencer
1,26,0.9276,3.6963,2.3119,3.8094,5.3805,0.0774,2.5388,91.1362,Fitness Enthusiast
1,32,1.1698,0.5847,2.3465,7.9782,1.0991,0.0207,3.6262,6.4317,Social Media Influencer
2,59,0.1187,0.7538,5.6844,4.0551,3.1596,0.0089,3.7188,31.0245,Eco-Friendly
1,36,0.1287,1.8288,3.7138,6.975,1.6956,1.0201,4.2638,8.2401,Fitness Enthusiast
2,22,0.0705,0.7603,2.849,1.2203,3.6799,0.0231,1.324,33.4727,Eco-Friendly
2,30,0.1146,0.7368,8.6438,10.5118,2.5345,0.0052,4.3415,19.6409,Health-Conscious
1,40,0.0644,0.7439,3.8662,3.6252,3.3095,0.0002,2.5759,32.0111,Eco-Friendly
2,33,0.318,2.1435,6.1137,3.5143,3.252,0.0105,2.1213,31.9704,Health-Conscious
1,45,0.1397,3.4853,5.7341,3.1082,5.6344,0.0149,4.913,99.2652,Health-Conscious
2,32,0.0992,0.7391,4.425,6.2733,2.9922,0.0003,6.3141,26.2574,Health-Conscious
1,30,0.099,2.6421,9.6928,4.9686,2.2876,0.0015,5.7379,14.2264,Fitness Enthusiast
2,31,0.0195,0.6855,8.4789,7.3665,1.9791,0.0193,0.9246,13.3933,Social Media Influencer
1,58,0.0139,0.7973,6.3078,1.7069,5.6828,0.0094,1.511,104.2008,Eco-Friendly
2,56,2.0351,0.427,5.9159,9.6122,2.8027,0.3986,2.2311,22.4642,Fitness Enthusiast
2,28,0.4394,0.7009,2.4899,3.6497,1.5759,1.2885,3.1251,6.7634,Eco-Friendly
1,24,0.0259,4.3137,4.5216,4.5986,2.4219,0.017,6.6741,10.254,Health-Conscious
1,27,0.0148,1.7958,6.5197,3.4108,3.5747,0.0156,4.6965,44.1376,Health-Conscious
1,38,0.0075,1.1652,3.9878,3.0345,3.2275,0.0163,2.5588,26.4065,Health-Conscious
2,62,0.1095,5.3536,3.6955,2.8706,3.611,0.0034,4.1497,34.1951,Fitness Enthusiast
2,40,0.0418,0.6568,3.2339,5.5345,3.5589,0.2079,4.8993,35.1663,Eco-Friendly
1,29,0.0041,0.5997,2.9045,9.0316,1.5684,0.0136,3.1334,4.4786,Social Media Influencer
1,59,0.011,0.7638,2.2907,9.1217,2.5366,0.013,4.0847,12.647,Social Media Influencer
2,31,0.0323,0.7415,5.3584,2.0962,3.0662,0.0023,2.142,28.3666,Eco-Friendly
1,27,0.8608,3.4906,3.65,11.0298,3.5548,0.0031,2.3559,33.4931,Fitness Enthusiast
2,61,0.5514,0.4702,6.755,6.9818,1.7933,1.3629,2.5403,12.564,Health-Conscious
2,49,0.4754,4.5108,9.0831,4.3499,2.8283,0.0124,3.5051,24.1458,Fitness Enthusiast
2,46,0.0334,2.9358,4.5242,3.1183,0.9287,0.0272,4.5757,1.1084,Health-Conscious
1,46,0.4592,2.6631,4.3483,3.8979,4.94,0.0164,2.7625,96.5201,Fitness Enthusiast
2,55,0.1269,5.223,1.2519,3.3936,5.8483,0.0091,5.2767,91.2355,Health-Conscious
1,33,0.0621,4.9189,5.2568,4.0715,4.1383,0.0156,4.7634,63.2363,Health-Conscious
2,42,0.0512,0.7135,2.9574,4.7605,3.7987,0.0067,3.4667,41.9639,Eco-Friendly
1,57,0.084,0.7828,7.9733,3.3994,2.9671,0.0076,3.4158,25.7417,Health-Conscious
1,33,0.049,6.2288,5.4811,2.1519,3.9743,0.0053,3.6321,58.0453,Health-Conscious
1,22,0.2362,0.7173,5.6446,5.5076,2.6911,0.0293,4.1536,21.3895,Eco-Friendly
2,50,0.6956,4.3413,5.2863,18.8615,1.1112,0.0564,3.1459,3.4995,Social Media Influencer
1,45,0.1289,0.5924,3.4864,3.3482,3.1271,0.0226,3.2925,31.7772,Social Media Influencer
2,45,1.785,1.6435,3.9119,14.121,1.6999,0.0205,3.6417,8.302,Fitness Enthusiast
2,36,0.3192,6.3942,2.095,10.0061,0.8063,0.0347,2.4218,2.204,Eco-Friendly
2,27,0.6888,1.2575,4.7276,12.4212,3.7008,1.7349,3.6673,43.1303,Fitness Enthusiast
2,58,0.0577,1.4961,8.4922,4.0884,3.6318,0.0392,4.4609,52.4503,Health-Conscious
2,60,1.3709,1.0741,3.5465,7.5034,5.376,0.8821,2.7101,101.541,Fitness Enthusiast
1,22,0.424,1.9556,5.1457,13.2163,3.3004,0.0254,2.8364,30.3728,Health-Conscious
1,32,0.0051,1.0367,4.2665,6.5274,1.4884,0.0035,2.2264,4.7612,Social Media Influencer
1,51,0.1484,3.9547,3.385,1.8149,4.0976,0.0206,3.3348,58.3793,Health-Conscious
2,25,0.1103,0.6647,1.9267,4.4031,2.8462,0.0125,3.2469,18.7611,Eco-Friendly
1,21,0.0318,0.5945,2.4369,6.2179,2.7191,0.0045,4.882,12.7419,Eco-Friendly
2,36,0.0402,0.7178,3.271,3.8278,5.0852,1.0709,3.6843,86.4844,Eco-Friendly
2,20,0.0465,2.5713,0.9945,2.6611,5.0638,0.0067,4.3275,79.1598,Health-Conscious
2,40,0.0771,1.2843,6.382,4.1707,3.1477,0.0264,4.2922,29.7903,Health-Conscious
2,46,0.0509,0.7008,3.8416,3.7177,3.6184,0.0316,3.0366,38.8638,Eco-Friendly
2,49,0.3122,4.1819,2.2233,6.5581,3.1145,0.0188,3.4006,20.8905,Fitness Enthusiast
2,49,1.7438,1.0085,4.1325,1.323,3.3381,0.0003,1.7346,30.133,Fitness Enthusiast
2,43,0.014,0.7527,3.6044,8.5944,3.154,0.0229,7.5974,36.1126,Eco-Friendly
1,22,0.2653,2.7775,3.0066,11.346,3.8547,0.0183,4.4858,39.6778,Fitness Enthusiast
1,43,1.7518,3.1934,5.8797,13.5552,5.6255,1.0378,3.3401,104.544,Fitness Enthusiast
2,41,0.0264,0.6677,1.5248,2.5076,3.3602,0.013,1.8055,24.0315,Eco-Friendly
1,41,0.011,3.361,7.2063,5.8592,4.7815,0.0534,3.1289,99.1885,Eco-Friendly
2,33,0.1991,0.5768,4.191,4.781,0.4655,0.0105,4.4376,0.839,Social Media Influencer
2,54,0.1188,3.1838,7.4426,7.6974,4.0624,0.0622,2.9174,64.4008,Eco-Friendly
1,43,0.0199,0.7338,3.8032,4.5645,1.9586,0.0079,4.2557,7.7125,Eco-Friendly
2,46,0.0598,2.1189,3.3668,5.6011,5.7739,1.6545,5.5306,98.0673,Health-Conscious
2,34,0.0938,4.2888,6.7825,2.7123,4.0078,0.0178,4.3349,61.14,Health-Conscious
2,22,0.0079,0.7861,5.8207,4.1015,5.2954,1.5482,2.2629,102.7591,Eco-Friendly
2,30,0.0051,2.6401,6.3673,5.3913,3.9564,0.007,5.2596,56.0267,Health-Conscious
1,22,0.1258,4.4474,4.403,1.4994,1.5357,0.0157,2.6243,3.4578,Health-Conscious
2,37,0.2719,0.6553,8.3551,6.0928,5.1111,1.48,5.3471,96.4058,Health-Conscious
2,23,0.0282,0.7304,4.9715,4.5307,3.8682,0.0062,1.6785,53.2089,Social Media Influencer
1,41,0.113,0.8415,0.7741,4.4044,4.3059,0.0077,2.8708,57.8431,Eco-Friendly
2,20,0.0646,0.7634,3.8068,4.7951,5.8073,0.0438,5.0666,100.9238,Eco-Friendly
1,37,0.0853,2.1215,2.9453,3.3157,3.8613,0.0042,4.0174,38.841,Health-Conscious
1,31,0.2716,5.9091,3.8047,2.7907,3.7311,0.0056,2.9492,37.2469,Fitness Enthusiast
1,41,0.0501,4.5923,4.279,2.4904,4.511,0.0276,3.9434,86.7257,Health-Conscious
1,44,0.0175,0.5836,5.7174,3.7557,3.6701,0.0166,3.4634,46.4262,Health-Conscious
1,60,0.0246,0.7393,5.691,4.742,5.4878,0.0028,3.9785,102.5482,Eco-Friendly
2,28,0.0578,0.7595,3.3369,7.1425,4.213,0.8776,6.4824,57.4956,Eco-Friendly
2,37,0.0496,0.678,7.5226,3.9711,3.2835,0.0092,3.6593,37.5597,Health-Conscious
1,34,0.2072,0.7872,4.5516,3.0323,4.7531,0.0222,2.1035,93.4969,Eco-Friendly
1,27,0.0515,3.1472,3.9505,2.5034,4.3379,0.0115,3.8432,74.9228,Health-Conscious
1,19,0.0985,2.9811,6.2905,8.3298,2.9175,0.0049,4.6113,25.3925,Fitness Enthusiast
2,55,0.0545,0.8021,4.9864,1.4042,3.2563,0.0115,1.5577,25.5956,Health-Conscious
1,40,0.0328,4.5795,8.793,4.2623,3.056,0.002,5.1289,31.8967,Health-Conscious
2,40,0.1025,3.5195,5.7701,2.4396,2.9445,0.0155,3.7466,20.9348,Health-Conscious
1,35,0.0772,0.7615,1.5924,4.1282,3.687,0.0164,2.2528,39.8687,Eco-Friendly
1,43,0.0932,0.7493,5.8768,0.3733,2.9638,0.0084,0.493,25.0706,Health-Conscious
2,33,0.1364,4.1525,3.2302,4.7388,2.0124,0.009,7.7117,6.3971,Health-Conscious
1,26,0.4324,2.8956,4.3111,7.7084,3.259,0.0092,2.7883,28.5277,Fitness Enthusiast
1,28,1.7267,5.0721,2.9918,13.6517,4.9997,0.0049,1.9172,88.4055,Fitness Enthusiast
1,58,4.0748,3.1116,3.993,8.8616,0.9608,0.0048,2.5913,4.7861,Fitness Enthusiast
1,68,0.3563,5.9825,0.9135,2.2224,3.567,0.0082,3.5809,22.3508,Health-Conscious
2,33,2.7046,1.6653,3.8174,10.5895,0.4432,0.0044,3.0257,2.2646,Fitness Enthusiast
2,34,0.0017,3.3943,7.187,4.0569,4.2364,0.0101,4.9382,81.3727,Health-Conscious
2,31,1.0584,1.6621,4.7609,14.7089,3.6865,1.1988,3.2187,43.9447,Fitness Enthusiast
1,22,0.1648,0.6797,0.7437,5.1474,2.0617,1.5364,4.1593,7.8576,Eco-Friendly
1,67,0.0697,0.8504,6.0598,2.4897,6.7185,0.0047,2.7647,99.5248,Eco-Friendly
1,34,0.0327,1.5198,5.7446,2.9719,3.3468,0.0446,4.5872,33.2423,Health-Conscious
1,49,0.847,0.1417,1.1002,14.9627,4.7701,0.0023,1.7916,69.8915,Fitness Enthusiast
2,28,0.0282,0.7011,7.397,3.6911,3.229,0.0082,2.6496,39.9009,Eco-Friendly
1,42,0.1004,0.9605,4.3435,6.9194,4.5474,0.0015,2.6676,84.6364,Health-Conscious
1,31,0.2083,0.8238,2.4679,2.8079,4.5553,1.45,2.683,60.1979,Eco-Friendly
1,26,0.3527,0.7219,3.7221,1.9719,3.286,0.0235,2.1511,35.0807,Eco-Friendly
1,25,0.0863,0.6461,7.0696,7.9494,3.1276,0.0006,4.9445,34.9623,Eco-Friendly
1,46,0.14,0.4116,6.2734,14.9097,2.7932,0.0237,4.0277,21.9469,Health-Conscious
2,24,0.0539,3.8746,2.9533,3.5452,1.9241,0.001,5.2913,5.7233,Health-Conscious
2,35,0.0643,5.064,7.3126,3.2117,3.5856,0.0145,4.8553,44.0936,Health-Conscious
1,37,0.6528,4.4799,1.6843,8.0449,5.6118,0.0063,2.5838,93.6111,Fitness Enthusiast
2,37,0.0777,1.9019,6.4574,3.4033,3.5379,0.0273,4.4983,42.683,Health-Conscious
2,34,0.0326,1.7411,5.1847,5.3834,5.0973,0.0402,6.1205,98.9498,Health-Conscious
1,23,0.0534,0.8333,2.1198,5.8004,6.6157,0.0029,5.3817,99.5785,Health-Conscious
1,40,0.0659,2.5198,3.6495,5.0742,1.2626,0.0111,6.945,3.0073,Health-Conscious
2,32,0.0067,0.7573,4.7612,2.3267,2.9687,0.0204,2.3098,24.766,Eco-Friendly
2,35,0.2032,0.6198,7.9318,5.7114,4.522,1.1243,3.5981,75.5236,Eco-Friendly
2,27,0.0149,0.7812,5.0809,7.7652,1.3336,0.0067,4.1134,6.7231,Eco-Friendly
2,33,0.1674,0.6918,4.5121,4.0144,5.2598,0.0042,3.6902,97.503,Eco-Friendly
2,47,0.1978,0.6226,2.1609,6.6716,3.679,0.0027,1.5075,27.4766,Health-Conscious
2,28,0.0484,4.8079,5.5597,5.4326,4.0954,0.6938,6.7612,56.4217,Health-Conscious
2,32,0.1359,1.1099,2.9495,1.2571,1.7556,1.0383,3.0316,4.2039,Health-Conscious
1,31,0.0239,1.1175,2.9969,9.7588,3.5612,0.0134,2.8585,30.4383,Social Media Influencer
2,35,0.0633,2.489,5.3158,16.3199,3.7015,0.0067,5.0276,43.1786,Health-Conscious
1,55,0.048,0.6738,6.8471,5.7167,5.6815,0.0158,3.0782,99.9161,Eco-Friendly
2,46,0.0572,0.7908,2.7992,2.4595,2.1092,0.757,3.4234,9.976,Health-Conscious
1,29,0.1105,0.6752,3.5535,1.7255,2.9846,0.0369,1.7409,28.2456,Eco-Friendly
2,20,0.0331,0.7644,4.127,3.1652,4.3786,0.0179,3.0916,87.9421,Eco-Friendly
1,30,0.0523,0.73,1.9184,4.6234,4.1199,0.0076,3.9304,69.384,Eco-Friendly
2,37,0.0559,3.7105,3.8089,6.0449,0.8368,0.0153,6.0616,0.8665,Fitness Enthusiast
1,26,0.11,2.205,5.4621,4.3069,5.4698,1.5996,5.517,98.6257,Health-Conscious
1,47,0.016,0.7225,2.2522,3.7542,4.6161,1.3786,2.8951,64.9717,Eco-Friendly
1,58,0.0234,0.798,9.3458,7.5062,5.3096,0.0233,6.2393,102.265,Health-Conscious
1,26,0.0025,3.4533,2.4911,2.0939,4.4429,1.6016,3.6505,55.0804,Health-Conscious
1,39,0.222,0.5103,3.8795,3.363,1.8065,1.3161,2.717,12.8341,Social Media Influencer
1,45,0.1381,2.1246,5.1128,13.8067,3.316,0.0168,4.7319,31.5811,Health-Conscious
2,26,1.1882,4.0484,1.7089,9.6772,3.6351,0.0068,1.7348,35.6256,Fitness Enthusiast
1,40,0.0409,0.4282,1.5351,12.0361,2.5182,0.9497,3.5656,14.5299,Social Media Influencer
2,27,0.0071,0.7493,3.1203,3.8122,2.4161,0.0242,3.7045,11.8617,Eco-Friendly
2,25,0.0181,0.725,5.4257,2.8198,3.9093,0.0024,1.9893,65.5336,Eco-Friendly
2,29,0.0604,0.9409,2.8097,4.6238,3.4935,0.0307,2.9856,30.9785,Eco-Friendly
1,25,0.0857,2.1345,5.7124,6.1946,2.4431,0.0105,4.9612,13.1405,Fitness Enthusiast
2,23,0.0369,3.4105,6.3561,2.0407,3.239,0.032,3.1889,32.0336,Health-Conscious
2,35,0.0662,5.4383,2.5096,3.4056,3.7486,0.0155,4.2925,31.5622,Health-Conscious
2,34,0.1023,6.9012,8.0056,3.4893,1.0746,0.0101,5.249,2.6032,Health-Conscious
2,33,0.0114,0.7172,0.6376,2.7764,4.2653,0.0016,2.4487,51.7896,Eco-Friendly
2,19,0.0813,1.0126,7.5442,6.8467,3.9489,0.0119,5.4065,62.4723,Health-Conscious
1,25,0.0836,6.2416,5.1364,2.9413,4.8624,0.0281,5.0325,95.8522,Health-Conscious
2,26,0.1098,4.9743,5.6017,2.9227,4.0821,0.0242,4.1058,65.1439,Health-Conscious
1,59,0.108,3.2566,5.3867,3.636,4.5012,0.0151,4.8321,92.7301,Health-Conscious
2,28,0.1181,0.6449,5.9095,7.7239,3.2021,0.0251,4.3242,31.8217,Health-Conscious
2,45,0.1713,0.7881,7.7988,1.3602,4.7409,0.007,1.2126,98.6761,Eco-Friendly
2,26,0.128,0.6881,3.1104,4.0854,2.0521,0.0163,2.9443,10.2468,Eco-Friendly
2,43,0.019,3.6267,4.0862,10.5117,2.1614,0.0023,4.2012,8.3053,Social Media Influencer
2,28,0.0097,1.529,8.5712,4.3519,1.826,0.0576,3.9171,8.6505,Health-Conscious
2,35,0.011,2.8616,3.5657,4.6419,3.9697,0.0088,6.8649,47.5626,Health-Conscious
1,30,0.0008,1.0114,3.0691,6.6568,2.2502,0.0082,2.2317,10.9558,Social Media Influencer
2,53,0.0628,0.6302,3.7696,4.8121,3.888,0.0127,3.3774,45.5609,Health-Conscious
1,37,0.1159,6.3844,6.6867,2.6437,3.1329,0.0035,4.8344,29.8458,Health-Conscious
2,27,0.091,0.2638,4.7057,23.9705,2.2311,0.9394,6.2475,16.2824,Health-Conscious
2,55,0.3178,0.7472,3.3545,2.9404,3.5068,0.7778,2.6586,39.1138,Social Media Influencer
2,34,0.1475,6.1219,1.9926,1.1165,3.5632,0.0069,2.6617,23.7097,Health-Conscious
2,44,0.2122,2.3887,0.4267,5.6219,2.7677,0.0043,4.6364,8.0349,Health-Conscious
1,34,1.2782,0.371,4.0849,16.5013,1.6143,0.0035,2.5222,8.1236,Health-Conscious
1,47,0.0286,0.6996,10.5609,4.2652,2.5423,0.0314,4.1695,21.0168,Health-Conscious
2,39,0.2184,2.1275,5.7146,5.4272,6.6339,0.0024,3.6058,101.8171,Fitness Enthusiast
1,43,0.01,0.7495,5.0449,3.7246,2.9684,0.0073,3.6438,24.0348,Eco-Friendly
2,32,0.0128,1.1164,7.5814,3.0307,3.8234,0.0075,3.4542,62.5905,Health-Conscious
1,32,0.012,3.2752,7.9732,4.0713,3.4188,0.0231,4.7383,40.7684,Health-Conscious
1,30,0.0465,0.7156,2.4855,6.4432,2.1306,0.0128,5.787,8.5517,Eco-Friendly
1,19,0.0936,0.6382,3.8305,5.9464,3.3509,1.2157,5.0689,37.2908,Social Media Influencer
1,29,0.0364,3.503,5.1181,6.4661,4.7898,0.0009,7.003,96.4911,Health-Conscious
2,36,0.0448,0.621,1.4362,4.5698,3.1346,0.011,2.9768,17.2157,Eco-Friendly
1,41,0.0315,0.7131,5.1623,3.7473,2.9877,0.0212,4.0155,22.6006,Health-Conscious
2,35,0.1327,4.9618,5.2582,3.0374,5.4799,0.0193,3.7414,99.6194,Health-Conscious
2,31,0.2084,0.7469,10.3006,3.8709,3.7956,0.0101,1.9485,62.0734,Eco-Friendly
1,35,0.0622,4.4101,4.6577,4.2457,5.0911,0.0154,5.6728,97.5013,Health-Conscious
2,21,0.0546,5.6528,2.9899,2.7175,3.7241,0.0039,4.526,34.5687,Health-Conscious
1,27,0.0939,0.6238,0.9041,2.3822,5.069,0.003,1.9311,79.2799,Health-Conscious
2,25,0.1715,0.5861,4.6499,14.4894,2.9593,0.0113,3.569,23.0774,Health-Conscious
2,27,0.58,6.386,4.129,5.1223,1.8506,0.0271,4.0056,5.8619,Health-Conscious
2,42,0.0346,0.7788,3.8032,5.3553,1.9453,0.0052,5.1618,7.4027,Health-Conscious
1,31,0.0794,0.6877,3.1832,1.8095,3.7535,0.0017,1.68,45.6081,Eco-Friendly
1,46,0.008,0.7384,5.8755,3.7382,5.101,0.5653,3.3886,100.5856,Eco-Friendly
2,43,0.0577,0.6231,1.5474,2.0423,3.647,0.0009,1.4588,27.3146,Eco-Friendly
1,33,0.0898,0.6699,3.3686,3.7688,5.6036,1.2077,2.2415,99.0976,Eco-Friendly
2,20,0.1584,0.6481,4.7189,12.4962,3.1975,0.0012,3.9165,28.9827,Health-Conscious
1,37,0.1875,0.7354,9.7602,4.8717,4.874,0.848,4.9281,93.0584,Health-Conscious
